DATE,RELACBW027SBOG
2002-06-01,1814.8073250000000000
2002-07-01,1835.4107600000000000
2002-08-01,1864.5455500000000000
2002-09-01,1894.4644750000000000
2002-10-01,1941.7478000000000000
2002-11-01,1976.6115000000000000
2002-12-01,2006.1553000000000000
2003-01-01,2032.5171400000000000
2003-02-01,2067.1944750000000000
2003-03-01,2084.3348750000000000
2003-04-01,2104.4049800000000000
2003-05-01,2130.7533250000000000
2003-06-01,2146.4710000000000000
2003-07-01,2174.9772200000000000
2003-08-01,2218.1297000000000000
2003-09-01,2236.2212250000000000
2003-10-01,2214.9770400000000000
2003-11-01,2201.6302750000000000
2003-12-01,2206.8340600000000000
2004-01-01,2225.0633250000000000
2004-02-01,2249.5106500000000000
2004-03-01,2287.0928800000000000
2004-04-01,2341.6623250000000000
2004-05-01,2380.4175500000000000
2004-06-01,2407.9835400000000000
2004-07-01,2412.8672000000000000
2004-08-01,2431.3232000000000000
2004-09-01,2463.0742400000000000
2004-10-01,2492.3777000000000000
2004-11-01,2521.4263250000000000
2004-12-01,2549.2170400000000000
2005-01-01,2574.9199500000000000
2005-02-01,2598.1107750000000000
2005-03-01,2647.3640800000000000
2005-04-01,2681.0597500000000000
2005-05-01,2691.2092250000000000
2005-06-01,2729.0316000000000000
2005-07-01,2776.8440750000000000
2005-08-01,2821.4297800000000000
2005-09-01,2843.6053750000000000
2005-10-01,2868.1677500000000000
2005-11-01,2891.5081800000000000
2005-12-01,2924.8747500000000000
2006-01-01,2941.6346750000000000
2006-02-01,2968.0833500000000000
2006-03-01,2993.6991400000000000
2006-04-01,3028.5150250000000000
2006-05-01,3056.6176400000000000
2006-06-01,3092.1434750000000000
2006-07-01,3118.1897000000000000
2006-08-01,3129.2517800000000000
2006-09-01,3141.8727750000000000
2006-10-01,3304.7716250000000000
2006-11-01,3331.7025000000000000
2006-12-01,3370.2767250000000000
2007-01-01,3391.9077800000000000
2007-02-01,3422.2691750000000000
2007-03-01,3362.4330750000000000
2007-04-01,3386.8538000000000000
2007-05-01,3408.9623600000000000
2007-06-01,3426.4252000000000000
2007-07-01,3444.2390750000000000
2007-08-01,3466.2027400000000000
2007-09-01,3501.3431500000000000
2007-10-01,3551.0629000000000000
2007-11-01,3586.1758000000000000
2007-12-01,3596.2975500000000000
2008-01-01,3613.5779400000000000
2008-02-01,3628.9264000000000000
2008-03-01,3645.3718000000000000
2008-04-01,3660.0431200000000000
2008-05-01,3651.4447500000000000
2008-06-01,3639.9188500000000000
2008-07-01,3629.2216400000000000
2008-08-01,3630.7506750000000000
2008-09-01,3628.8312250000000000
2008-10-01,3824.6833200000000000
2008-11-01,3826.2032500000000000
2008-12-01,3820.2481800000000000
2009-01-01,3799.9981250000000000
2009-02-01,3824.0943250000000000
2009-03-01,3827.1463750000000000
2009-04-01,3836.2797200000000000
2009-05-01,3878.4620750000000000
2009-06-01,3864.5396500000000000
2009-07-01,3842.2763000000000000
2009-08-01,3820.6824000000000000
2009-09-01,3768.6531000000000000
2009-10-01,3734.3301750000000000
2009-11-01,3807.8458250000000000
2009-12-01,3779.9070200000000000
2010-01-01,3761.4922000000000000
2010-02-01,3725.9631000000000000
2010-03-01,3704.9087200000000000
2010-04-01,3714.6430000000000000
2010-05-01,3702.6535750000000000
2010-06-01,3683.7107200000000000
2010-07-01,3661.8339250000000000
2010-08-01,3654.7907500000000000
2010-09-01,3644.6823200000000000
2010-10-01,3626.4201500000000000
2010-11-01,3625.0946250000000000
2010-12-01,3615.9548000000000000
2011-01-01,3606.2121750000000000
2011-02-01,3576.6370500000000000
2011-03-01,3542.6388800000000000
2011-04-01,3522.4887250000000000
2011-05-01,3509.6566250000000000
2011-06-01,3503.2506800000000000
2011-07-01,3497.5543250000000000
2011-08-01,3492.0602400000000000
2011-09-01,3488.1217750000000000
2011-10-01,3496.8333500000000000
2011-11-01,3504.7434200000000000
2011-12-01,3493.2874500000000000
2012-01-01,3505.0658000000000000
2012-02-01,3539.7952200000000000
2012-03-01,3545.3930000000000000
2012-04-01,3540.1009500000000000
2012-05-01,3539.9332000000000000
2012-06-01,3530.8162750000000000
2012-07-01,3524.2929000000000000
2012-08-01,3526.0623400000000000
2012-09-01,3529.8951750000000000
2012-10-01,3526.7576000000000000
2012-11-01,3556.6908250000000000
2012-12-01,3547.7193500000000000
2013-01-01,3560.7646800000000000
2013-02-01,3553.9449750000000000
2013-03-01,3548.3585500000000000
2013-04-01,3553.8131500000000000
2013-05-01,3547.0079800000000000
2013-06-01,3546.6803250000000000
2013-07-01,3537.0678200000000000
2013-08-01,3527.1153250000000000
2013-09-01,3527.0399250000000000
2013-10-01,3524.0043600000000000
2013-11-01,3529.8206500000000000
2013-12-01,3530.7209250000000000
2014-01-01,3535.2085000000000000
2014-02-01,3544.7094000000000000
2014-03-01,3558.9947750000000000
2014-04-01,3573.3506200000000000
2014-05-01,3580.9503000000000000
2014-06-01,3598.0579250000000000
2014-07-01,3604.4799000000000000
2014-08-01,3615.3163500000000000
2014-09-01,3619.3677000000000000
2014-10-01,3620.1896400000000000
2014-11-01,3626.4216000000000000
2014-12-01,3637.5561400000000000
2015-01-01,3653.2741000000000000
2015-02-01,3672.0629750000000000
2015-03-01,3706.3947250000000000
2015-04-01,3720.4714400000000000
2015-05-01,3727.8528500000000000
2015-06-01,3747.0909000000000000
2015-07-01,3761.0331600000000000
2015-08-01,3775.8697250000000000
2015-09-01,3793.3466000000000000
2015-10-01,3809.8160250000000000
2015-11-01,3844.9811250000000000
2015-12-01,3868.4515400000000000
2016-01-01,3888.8864750000000000
2016-02-01,3912.5478500000000000
2016-03-01,3941.1551800000000000
2016-04-01,3958.5077750000000000
2016-05-01,3983.3433500000000000
2016-06-01,4005.9520400000000000
2016-07-01,4030.1074250000000000
2016-08-01,4053.1955200000000000
2016-09-01,4073.5814500000000000
2016-10-01,4094.9668250000000000
2016-11-01,4108.6863800000000000
2016-12-01,4113.6241250000000000
2017-01-01,4131.5706500000000000
2017-02-01,4141.6510750000000000
